Zambia,AFRO,31/12/2023,1.36E+07,1.17E7,74,64,9155551.0,50,14/04/2021,1414619.0,8
Zimbabwe,AFRO,31/12/2023,1.39E+07,7525882.0,94,51,5662119.0,38,18/02/2021,2299968.0,15
Bangladesh,SEARO,18/10/2023,3.62E+08,1.52E8,220,92,1.42E8,86,27/01/2021,6.85E7,42
Bahrain,EMRO,21/12/2022,3476633,1241174.0,204,73,1226796.0,72,04/11/2020,1008663.0,59
Brunei Darussalam,WPRO,30/06/2023,1293100,451149.0,296,100,446714.0,100,03/04/2021,340466.0,78
Bhutan,SEARO,30/10/2022,2011426,699116.0,261,91,677669.0,88,27/03/2021,634641.0,82
China,WPRO,20/04/2023,3.52E+09,1.32E9,239,90,1.28E9,87,22/07/2020,8.34E8,57
Cook Islands,WPRO,31/01/2023,40080,15112.0,228,86,14728.0,84,17/05/2021,10240.0,58
Fiji,WPRO,29/06/2023,1555182,712025.0,173,79,641194.0,72,07/03/2021,172078.0,19
Indonesia,SEARO,23/11/2023,4.48E+08,2.04E8,164,75,1.75E8,64,13/01/2021,6.94E7,25
India,SEARO,23/11/2023,2.21E+09,1.03E9,160,74,9.52E8,69,16/01/2021,2.29E8,17
Iran (Islamic Republic of),EMRO,26/11/2023,1.55E+08,6.52E7,185,78,5.86E7,70,09/02/2021,3.14E7,37
Iraq,EMRO,02/01/2023,1.96E+07,1.13E7,49,28,7944775.0,20,02/03/2021,275280.0,1
Jordan,EMRO,21/08/2022,1.01E+07,4821579.0,99,47,4558313.0,45,13/01/2021,682211.0,7
Kiribati,WPRO,06/02/2023,219980,100900.0,184,84,81474.0,68,26/05/2021,37606.0,31
Republic of Korea,WPRO,04/09/2023,1.36E+08,4.51E7,265,88,4.47E7,87,26/02/2021,3.36E7,66
Lao People's Democratic Republic,WPRO,21/05/2023,1.39E+07,6324678.0,191,87,5691962.0,78,25/11/2020,2451034.0,34
Lebanon,EMRO,22/12/2022,5814699,2740227.0,85,40,2414223.0,35,14/02/2021,660249.0,10
Sri Lanka,SEARO,30/10/2022,4.01E+07,1.71E7,187,80,1.48E7,69,29/01/2021,8220002.0,38
Maldives,SEARO,25/05/2023,951764,399308.0,176,74,385167.0,71,01/02/2021,167289.0,31
Myanmar,SEARO,21/08/2023,9.35E+07,4.16E7,172,76,3.59E7,66,27/01/2021,1.6E7,29
Mongolia,WPRO,17/03/2023,5668144,2284018.0,173,70,2185282.0,67,23/02/2021,1058839.0,32
New Caledonia,WPRO,03/04/2023,480497,192371.0,168,67,184801.0,65,20/01/2021,103325.0,36
Niue,WPRO,04/03/2023,4923,1638.0,304,100,1635.0,100,08/06/2021,1225.0,76
Nepal,SEARO,23/11/2023,6.26E+07,2.79E7,215,96,2.45E7,84,27/01/2021,1.03E7,35
Nauru,WPRO,20/02/2023,32157,13106.0,297,100,11346.0,100,09/04/2021,7705.0,71
New Zealand,WPRO,21/04/2023,1.23E+07,4259911.0,254,88,4096278.0,85,19/02/2021,2719283.0,56
Oman,EMRO,25/10/2022,7108547,3279632.0,139,64,3048826.0,60,29/12/2020,779859.0,15
Pakistan,EMRO,14/11/2023,3.41E+08,1.66E8,154,75,1.4E8,64,03/02/2021,5.32E7,24
Philippines,WPRO,19/03/2023,1.89E+08,8.27E7,173,75,7.84E7,72,01/03/2021,2.38E7,22
Palau,WPRO,10/03/2023,51032,20295.0,282,100,18278.0,100,03/01/2021,12885.0,71
French Polynesia,WPRO,17/07/2023,493692,195688.0,176,70,195688.0,70,18/01/2021,102317.0,36
Saudi Arabia,EMRO,25/04/2023,6.85E+07,2.7E7,197,78,2.54E7,73,06/01/2021,1.61E7,46
Singapore,WPRO,29/08/2023,1.53E+07,5287005.0,262,90,5248693.0,90,30/12/2020,4769158.0,82
Solomon Islands,WPRO,04/07/2023,612700,335796.0,89,49,254016.0,37,23/03/2021,27896.0,4
Thailand,SEARO,01/09/2023,1.43E+08,5.77E7,204,83,5.42E7,78,28/02/2021,3.21E7,46
Tokelau,WPRO,05/12/2022,6342,2203.0,470,100,2203.0,100,20/07/2021,968.0,72
Timor-Leste,SEARO,22/11/2023,2028798,886838.0,154,67,801759.0,61,07/04/2021,340201.0,26
Tonga,WPRO,30/06/2023,204737,87375.0,194,83,77390.0,73,14/04/2021,38588.0,37
Tuvalu,WPRO,01/02/2023,26783,9763.0,227,83,9505.0,81,13/04/2021,5745.0,49
Viet Nam,WPRO,30/06/2023,2.66E+08,9.05E7,274,93,8.6E7,88,08/03/2021,5.8E7,60
Vanuatu,WPRO,20/02/2023,355430,176624.0,116,58,162250.0,53,02/06/2021,16556.0,5
Wallis and Futuna,WPRO,23/01/2023,17303,7150.0,154,64,6803.0,60,19/03/2021,3350.0,30
Samoa,WPRO,24/02/2023,453130,191403.0,228,96,177954.0,90,18/04/2021,82268.0,41
